,reactions
443,[CH2:2]([CH3:1])[C:3]([CH3:5])=[O:4].[NH:12]([C:9]=1[CH:8]=[CH:7][CH:6]=[CH:11][CH:10]=1)[NH2:13]>>[CH:7]=1[CH:6]=[CH:11][CH:10]=[C:9]2[NH:12][C:3](=[C:2]([CH3:1])[C:8]=12)[CH3:5]
444,[CH2:21]1[C:9](=[C:10]([C:11](=[O:12])[OH:13])[N:14]2[C:15](=[O:16])[CH:17]([CH:19]2[S:20]1)[NH2:18])[CH2:8][S:7][C:6]=3[N:2]([CH3:1])[N:3]=[N:4][N:5]=3.[S:31]1[C:26]([CH2:25][C:23](=[O:22])[OH:24])=[CH:27][S:28][CH2:29][CH2:30]1>>[CH2:21]1[C:9](=[C:10]([C:11](=[O:12])[OH:13])[N:14]2[CH:19]([CH:17]([C:15]2=[O:16])[NH:18][C:23]([CH2:25][C:26]=3[S:31][CH2:30][CH2:29][S:28][CH:27]=3)=[O:22])[S:20]1)[CH2:8][S:7][C:6]=4[N:2]([CH3:1])[N:3]=[N:4][N:5]=4
445,[CH4:19].[CH2:3]1[CH2:4][CH2:5][NH:6][C:2]1=[O:1].[CH2:12]1[CH2:13][NH:14][CH2:15][CH2:16][N:11]1[C:10]2=[N:9][CH:8]=[CH:7][CH:18]=[N:17]2>>[CH2:12]1[CH2:13][N:14]([CH2:15][CH2:16][N:11]1[C:10]2=[N:9][CH:8]=[CH:7][CH:18]=[N:17]2)[CH2:19][N:6]3[CH2:5][CH2:4][CH2:3][C:2]3=[O:1]
446,[CH2:18]1[C:6]([CH2:5][O:4][C:2]([CH3:1])=[O:3])=[C:7]([C:8](=[O:9])[OH:10])[N:11]2[C:12](=[O:13])[CH:14]([CH:16]2[S:17]1)[NH2:15].[Cl:42][C:41]([Cl:43])([Cl:44])[CH2:40][O:39][C:37](=[O:38])[NH:36][C:35]=1[S:34][CH:33]=[C:32]([N:45]=1)[CH:22]([C:20]([OH:21])=[O:19])[NH:23][C:24]([O:26][CH2:27][C:28]([Cl:29])([Cl:30])[Cl:31])=[O:25].[Na:46]>>[Cl:29][C:28]([Cl:30])([Cl:31])[CH2:27][O:26][C:24]([NH:23][CH:22]([C:20](=[O:19])[NH:15][CH:14]1[CH:16]2[N:11]([C:7]([C:8]([O-:10])=[O:9])=[C:6]([CH2:5][O:4][C:2](=[O:3])[CH3:1])[CH2:18][S:17]2)[C:12]1=[O:13])[C:32]=3[N:45]=[C:35]([NH:36][C:37](=[O:38])[O:39][CH2:40][C:41]([Cl:42])([Cl:43])[Cl:44])[S:34][CH:33]=3)=[O:25]
447,[C:12]([NH2:13])(=[O:14])[O:11][CH2:10][CH3:9].[CH:3]1=[C:2]([NH2:1])[CH:8]=[CH:7][C:5]([Cl:6])=[CH:4]1>>[CH:7]1=[CH:8][C:2]([NH:1][C:12]([O:11][CH2:10][CH3:9])=[O:14])=[CH:3][CH:4]=[C:5]1[Cl:6]
448,[CH3:1][C:2]([NH:4][C:5]1=[CH:29][C:17](=[CH:16][C:7]([O:8][CH2:9][C:10]2=[CH:11][CH:12]=[CH:13][CH:14]=[CH:15]2)=[CH:6]1)[CH:18]([CH3:19])[CH2:20][CH2:21][CH2:22][C:23]=3[CH:28]=[CH:27][CH:26]=[CH:25][CH:24]=3)=[O:3]>>[NH2:4][C:5]1=[CH:29][C:17](=[CH:16][C:7](=[CH:6]1)[O:8][CH2:9][C:10]2=[CH:15][CH:14]=[CH:13][CH:12]=[CH:11]2)[CH:18]([CH2:20][CH2:21][CH2:22][C:23]=3[CH:24]=[CH:25][CH:26]=[CH:27][CH:28]=3)[CH3:19]
449,[NH2:18][CH:17]([C:16]=1[C:3](=[C:4]([CH:13]=[CH:14][CH:15]=1)[O:5][C:6]=2[C:11]([CH3:12])=[CH:10][CH:9]=[CH:8][CH:7]=2)[O:2][CH3:1])[C:19]([OH:21])=[O:20]>>[O:5]([C:4]=1[CH:13]=[CH:14][CH:15]=[C:16]([C:3]=1[OH:2])[CH:17]([NH2:18])[C:19]([OH:21])=[O:20])[C:6]2=[C:11]([CH3:12])[CH:10]=[CH:9][CH:8]=[CH:7]2
450,[CH4:19].[N:1]#[C:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][NH:8][C:9]([NH:11][C:12](=[O:13])[C:14]([C:15]#[N:16])=[N:17][OH:18])=[O:10]>>[N:1]#[C:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][NH:8][C:9]([NH:11][C:12](=[O:13])[C:14]([C:15]#[N:16])=[N:17][O:18][CH3:19])=[O:10]
451,[CH2:13]1[CH2:14][CH2:15][CH2:16][CH2:17][CH:12]1[NH:11][CH3:10].[CH3:1][CH:2]([CH3:3])[CH:4]([O:6][C:7]([Cl:9])=[O:8])[Cl:5]>>[CH2:13]1[CH2:14][CH2:15][CH2:16][CH2:17][CH:12]1[N:11]([CH3:10])[C:7](=[O:8])[O:6][CH:4]([Cl:5])[CH:2]([CH3:1])[CH3:3]
452,[O:6]=[C:5]1[CH2:4][C:2]([CH2:21][C:19](=[O:20])[CH:7]1[C:8]=2[C:17](=[CH:16][C:12](=[CH:11][C:9]=2[Cl:10])[N+:13]([O-:15])=[O:14])[Cl:18])([CH3:1])[CH3:3]>>[C:5]1(=[O:6])[CH2:4][C:2]([CH2:21][C:19](=[O:20])[CH:7]1[C:8]=2[C:17](=[CH:16][C:12]([NH2:13])=[CH:11][C:9]=2[Cl:10])[Cl:18])([CH3:1])[CH3:3]
453,[O:11]=[C:10]([OH:12])[C:9]=1[C:13]([OH:14])=[N:15][C:6](=[CH:7][CH:8]=1)[C:5]2=[CH:4][CH:3]=[C:2]([CH3:1])[CH:17]=[CH:16]2.[O:29]=[C:28]([OH:30])[C:27]=1[N:31]2[CH:47]([CH:34]([NH:35][C:36]([CH:38]([NH2:39])[C:40]3=[CH:41][CH:42]=[C:43]([CH:45]=[CH:46]3)[OH:44])=[O:37])[C:32]2=[O:33])[S:48][CH2:49][C:26]=1[CH:19]([S:20][C:21]=4[N:22]=[N:23][NH:24][N:25]=4)[CH3:18]>>[O:29]=[C:28]([OH:30])[C:27]=1[N:31]2[CH:47]([CH:34]([NH:35][C:36]([CH:38]([NH:39][C:10]([C:9]=3[C:13]([OH:14])=[N:15][C:6](=[CH:7][CH:8]=3)[C:5]4=[CH:16][CH:17]=[C:2]([CH3:1])[CH:3]=[CH:4]4)=[O:11])[C:40]5=[CH:41][CH:42]=[C:43]([CH:45]=[CH:46]5)[OH:44])=[O:37])[C:32]2=[O:33])[S:48][CH2:49][C:26]=1[CH:19]([S:20][C:21]=6[N:22]=[N:23][NH:24][N:25]=6)[CH3:18]
454,[N:20]12[C:18](=[O:19])[C:6]([NH:7][C:8]([CH2:10][CH2:11][CH2:12][CH:13]([C:15]([OH:17])=[O:16])[NH2:14])=[O:9])([O:5][CH3:4])[CH:33]1[S:32][CH2:31][C:25]([CH2:26][O:27][C:28]([CH3:29])=[O:30])=[C:21]2[C:22](=[O:23])[OH:24].[SH:1][CH2:2][CH3:3]>>[N:20]12[C:18](=[O:19])[C:6]([NH:7][C:8]([CH2:10][CH2:11][CH2:12][CH:13]([C:15]([OH:17])=[O:16])[NH2:14])=[O:9])([O:5][CH3:4])[CH:33]1[S:32][CH2:31][C:25]([CH2:26][S:1][CH2:2][CH3:3])=[C:21]2[C:22](=[O:23])[OH:24]
455,[Cl:15][C:14]1=[CH:13][CH:12]=[CH:11][CH:10]=[C:9]1[C:6]2([O:16][CH:2]([CH3:1])[O:3][CH2:4][CH2:5]2)[C:7]#[N:8]>>[CH:10]=1[CH:11]=[CH:12][CH:13]=[C:14]([Cl:15])[C:9]=1[C:6]2([CH2:5][CH2:4][O:3][CH:2]([CH3:1])[O:16]2)[CH2:7][NH2:8]
456,[CH3:9][CH:10]([CH3:11])[C:12]=1[O:26][N:25]=[C:14]([NH:15][C:16](=[O:17])[O:18][C:19]2=[CH:20][CH:21]=[CH:22][CH:23]=[CH:24]2)[CH:13]=1.[O:5]([CH3:6])[CH:4]([O:7][CH3:8])[CH2:3][NH:2][CH3:1]>>[CH3:6][O:5][CH:4]([O:7][CH3:8])[CH2:3][N:2]([C:16](=[O:17])[NH:15][C:14]1=[N:25][O:26][C:12]([CH:10]([CH3:9])[CH3:11])=[CH:13]1)[CH3:1]
457,[CH:10]1=[C:9]([CH:14]=[CH:13][CH:12]=[CH:11]1)[CH2:8][OH:7].[OH:3][CH:2]([CH3:1])[C:4](=[O:5])[OH:6]>>[CH:2]([OH:3])([C:4](=[O:5])[O:7][CH2:8][C:9]1=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]1)[CH3:1]
458,[CH2:14]([C:13]#[CH:12])[CH2:15][CH2:16][CH2:17][NH2:18].[S:3]([CH2:2][CH3:1])[C:4]1=[N:5][CH:6]=[C:7]([C:8](=[O:9])[OH:10])[S:11]1>>[C:7]1(=[CH:6][N:5]=[C:4]([S:3][CH2:2][CH3:1])[S:11]1)[C:8]([NH:18][CH2:17][CH2:16][CH2:15][CH2:14][C:13]#[CH:12])=[O:9]
459,[CH4:22].[CH3:19][N:18]([CH3:20])[CH:17]=[CH:16][C:14](=[O:15])[C:13]1=[CH:21][C:9]([NH:8][C:6]([O:5][CH2:4][CH2:3][CH2:2][CH3:1])=[O:7])=[CH:10][CH:11]=[CH:12]1>>[CH3:19][N:18]([CH3:20])[CH:17]=[CH:16][C:14]([C:13]1=[CH:21][C:9]([N:8]([CH3:22])[C:6](=[O:7])[O:5][CH2:4][CH2:3][CH2:2][CH3:1])=[CH:10][CH:11]=[CH:12]1)=[O:15]
460,[C:8]12=[CH:7][CH:6]=[CH:5][CH:4]=[C:3]1[NH:2][CH:1]=[C:9]2[S:10][C:11]=3[CH:16]=[CH:15][CH:14]=[CH:13][CH:12]=3.[OH2:17]>>[CH:12]1=[CH:13][CH:14]=[CH:15][CH:16]=[C:11]1[S:10](=[O:17])[C:9]=2[C:8]=3[CH:7]=[CH:6][CH:5]=[CH:4][C:3]=3[NH:2][CH:1]=2
461,[O:20]([CH:19]1[CH:9]([O:8][CH:7]([CH2:6][O:5][C:3](=[O:4])[CH2:2][CH3:1])[CH:25]1[O:26][C:27](=[O:28])[CH2:29][CH3:30])[N:10]2[C:17]([NH2:18])=[C:13]([N:12]=[CH:11]2)[C:14]([NH2:15])=[O:16])[C:21]([CH2:23][CH3:24])=[O:22]>>[CH:9]1([N:10]2[C:17]([NH2:18])=[C:13]([N:12]=[CH:11]2)[C:14]#[N:15])[CH:19]([O:20][C:21]([CH2:23][CH3:24])=[O:22])[CH:25]([CH:7]([CH2:6][O:5][C:3](=[O:4])[CH2:2][CH3:1])[O:8]1)[O:26][C:27](=[O:28])[CH2:29][CH3:30]
462,[CH:25]1=[CH:26][CH:27]=[CH:28][C:29]=2[O:30][CH2:31][C:22]=3[N:23]([C:14](=[O:13])[N:15]([CH2:16][CH2:17][CH2:18][CH2:19][Cl:20])[N:21]=3)[C:24]1=2.[CH2:7]1[CH2:6][N:5]([CH2:10][CH2:9][NH:8]1)[C:4]2=[CH:3][CH:2]=[CH:1][CH:12]=[CH:11]2>>[CH2:6]1[CH2:7][N:8]([CH2:9][CH2:10][N:5]1[C:4]2=[CH:11][CH:12]=[CH:1][CH:2]=[CH:3]2)[CH2:19][CH2:18][CH2:17][CH2:16][N:15]3[N:21]=[C:22]4[CH2:31][O:30][C:29]5=[C:24]([CH:25]=[CH:26][CH:27]=[CH:28]5)[N:23]4[C:14]3=[O:13]
463,[CH2:17]([CH2:16][CH2:15][O:14][C:12]([C:10]1([O:9][C:7]2=[CH:8][C:3](=[CH:4][CH:5]=[C:6]2[CH2:22][CH2:21][CH:19]1[OH:20])[O:2][CH3:1])[CH3:11])=[O:13])[Cl:18].[CH2:29]1[CH2:28][N:27]([CH2:32][CH2:31][NH:30]1)[C:26]2=[CH:33][CH:34]=[CH:23][CH:24]=[CH:25]2>>[CH2:28]1[CH2:29][N:30]([CH2:31][CH2:32][N:27]1[C:26]2=[CH:33][CH:34]=[CH:23][CH:24]=[CH:25]2)[CH2:17][CH2:16][CH2:15][O:14][C:12](=[O:13])[C:10]3([CH:19]([CH2:21][CH2:22][C:6]=4[C:7]([O:9]3)=[CH:8][C:3]([O:2][CH3:1])=[CH:4][CH:5]=4)[OH:20])[CH3:11]
464,[CH4:26].[CH4:27].[NH2:6][CH:5]([C:7]=1[CH2:8][N:9]=[C:10]([C:18]2=[CH:19][C:20]([Cl:21])=[CH:22][CH:23]=[C:24]2[N:25]=1)[C:11]=3[C:16]([Cl:17])=[CH:15][CH:14]=[CH:13][CH:12]=3)[C:3](=[O:4])[O:2][CH3:1]>>[CH3:26][C:27]=1[N:25]2[C:24]3=[CH:23][CH:22]=[C:20]([Cl:21])[CH:19]=[C:18]3[C:10](=[N:9][CH2:8][C:7]2=[C:5]([C:3](=[O:4])[O:2][CH3:1])[N:6]=1)[C:11]=4[C:16]([Cl:17])=[CH:15][CH:14]=[CH:13][CH:12]=4
465,[CH4:23].[CH:2]([CH3:1])([NH:12][C:13]([O:15][CH2:16][C:17]1=[CH:18][CH:19]=[CH:20][CH:21]=[CH:22]1)=[O:14])[CH2:3][S:4][C:5]2=[CH:6][CH:7]=[C:8]([CH:10]=[CH:11]2)[Cl:9]>>[N:12]([C:13]([O:15][CH2:16][C:17]1=[CH:22][CH:21]=[CH:20][CH:19]=[CH:18]1)=[O:14])([CH:2]([CH3:1])[CH2:3][S:4][C:5]2=[CH:11][CH:10]=[C:8]([CH:7]=[CH:6]2)[Cl:9])[CH3:23]
466,[BrH:30].[CH2:1]=[C:2]1[CH2:3][C:4]([O:6]1)=[O:5].[N+:21]([O-:23])(=[O:22])[C:20]1=[CH:19][CH:18]=[C:17]([CH2:16][O:15][C:13]([C:12]=2[N:11]3[C:9](=[O:10])[CH:8]([CH:29]3[S:28][CH2:27][CH:26]=2)[NH2:7])=[O:14])[CH:25]=[CH:24]1>>[N+:21]([O-:23])(=[O:22])[C:20]1=[CH:19][CH:18]=[C:17]([CH2:16][O:15][C:13]([C:12]=2[N:11]3[CH:29]([CH:8]([C:9]3=[O:10])[NH:7][C:4]([CH2:3][C:2]([CH2:1][Br:30])=[O:6])=[O:5])[S:28][CH2:27][CH:26]=2)=[O:14])[CH:25]=[CH:24]1
467,[BrH:13].[CH3:9][C:8]=1[CH:10]=[C:11]([OH:12])[C:2](=[CH:3][C:4]=1[N+:5]([O-:7])=[O:6])[CH3:1]>>[OH:12][C:11]1=[C:10]([Br:13])[C:8]([CH3:9])=[C:4]([N+:5]([O-:7])=[O:6])[CH:3]=[C:2]1[CH3:1]
468,[CH:5]=1[C:4]2=[C:9]([O:10][C:11]=3[CH:12]=[C:13]([F:14])[CH:15]=[CH:16][C:17]=3[C:2](=[O:1])[CH2:3]2)[CH:8]=[CH:7][CH:6]=1.[NH3:18].[OH2:19]>>[C:17]1=2[C:2]([C:3]([C:4]=3[C:9]([O:10][C:11]1=[CH:12][C:13](=[CH:15][CH:16]=2)[F:14])=[CH:8][CH:7]=[CH:6][CH:5]=3)=[N:18][OH:19])=[O:1]
469,[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]([C:7]([N:15]1[CH:16]=[N:17][CH:18]=[N:19]1)=[CH:8][CH:9]2[CH2:10][CH2:11][CH2:12][CH2:13][CH2:14]2)=[O:6]>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH:5]([C:7]([N:15]1[N:19]=[CH:18][N:17]=[CH:16]1)=[CH:8][CH:9]2[CH2:10][CH2:11][CH2:12][CH2:13][CH2:14]2)[OH:6]
470,[CH2:8]1[CH2:9][CH2:10][CH2:11][CH2:12][N:7]1[CH2:6][CH2:5][C:4]=2[CH:13]=[CH:14][CH:1]=[CH:2][CH:3]=2>>[CH2:8]1[CH2:9][CH2:10][CH2:11][CH2:12][N:7]1[CH2:6][CH2:5][C:4]=2[CH2:3][CH:2]=[CH:1][CH2:14][CH:13]=2
471,[CH2:18]1[CH2:17][N:16]([CH2:21][CH2:20][CH2:19]1)[CH2:15][C:14]=2[S:13][CH:12]=[C:11]([CH2:10][S:9][CH2:8][CH2:7][NH:6][C:4](=[NH:5])[C:2]([NH2:3])=[NH:1])[CH:22]=2.[SH2:23]>>[CH2:18]1[CH2:17][N:16]([CH2:21][CH2:20][CH2:19]1)[CH2:15][C:14]=2[S:13][CH:12]=[C:11]([CH2:10][S:9][CH2:8][CH2:7][NH:6][C:4]=3[C:2]([NH2:3])=[N:1][S:23][N:5]=3)[CH:22]=2
472,[CH3:1][CH2:2][CH2:3][NH:4][C:5]1=[C:14]2[C:15](=[O:16])[CH2:17][CH2:18][CH2:19][C:13]2=[N:12][C:11]=3[CH:10]=[CH:9][CH:8]=[CH:7][C:6]1=3>>[CH3:1][CH2:2][CH2:3][NH:4][C:5]=1[C:6]=2[CH:7]=[CH:8][CH:9]=[CH:10][C:11]=2[N:12]=[C:13]3[C:14]=1[CH:15]([OH:16])[CH2:17][CH2:18][CH2:19]3
473,[Cl:21][C:20]([Cl:22])([Cl:23])[CH2:19][O:18][C:16]([O:15][CH:13]([CH3:14])[CH:12]1[CH:24]([N:9]([C:5]([C:3](=[O:4])[O:2][CH3:1])=[C:6]([CH3:8])[CH3:7])[C:10]1=[O:11])[Cl:25])=[O:17].[SH2:26]>>[Cl:21][C:20]([Cl:22])([Cl:23])[CH2:19][O:18][C:16](=[O:17])[O:15][CH:13]([CH3:14])[CH:12]1[C:10]([N:9]2[CH:24]1[S:26][C:6]([CH3:8])([CH3:7])[CH:5]2[C:3]([O:2][CH3:1])=[O:4])=[O:11]
474,[CH2:11]1[CH2:12][CH2:13][CH2:14][CH2:15][C:10]1=[O:9].[N:8]#[C:7][CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH3:1]>>[CH2:12]1[CH2:11][C:10]([CH2:15][CH2:14][CH2:13]1)=[C:6]([CH2:5][CH2:4][CH2:3][CH2:2][CH3:1])[C:7]#[N:8]
475,[NH3:16].[NH:13]([CH:5]([CH2:6][C:7]1=[CH:8][CH:9]=[CH:10][CH:11]=[CH:12]1)[C:3]([O:2][CH3:1])=[O:4])[CH:14]=[O:15].[OH2:17].[OH2:18]>>[N+:16]([O-:17])(=[O:18])[C:10]1=[CH:9][CH:8]=[C:7]([CH2:6][CH:5]([NH:13][CH:14]=[O:15])[C:3]([O:2][CH3:1])=[O:4])[CH:12]=[CH:11]1
476,[CH2:5]1[CH2:4][N:3]([N:2]=[O:1])[CH:7]([C:8](=[O:9])[OH:10])[CH2:6]1>>[CH2:5]1[CH2:4][N:3]([NH2:2])[CH:7]([C:8](=[O:9])[OH:10])[CH2:6]1
477,[CH3:6][C:7]1([CH3:8])[O:9][CH2:10][CH:11]([CH2:12][CH:13]=[CH:14][CH2:15][CH2:16][CH2:17][C:18]([OH:20])=[O:19])[CH:21]([O:28]1)[C:22]2=[CH:23][CH:24]=[CH:25][CH:26]=[CH:27]2.[O:3]=[S:2](=[O:4])([CH3:5])[NH2:1]>>[O:3]=[S:2](=[O:4])([CH3:5])[NH:1][C:18](=[O:19])[CH2:17][CH2:16][CH2:15][CH:14]=[CH:13][CH2:12][CH:11]1[CH:21]([O:28][C:7]([CH3:8])([CH3:6])[O:9][CH2:10]1)[C:22]2=[CH:23][CH:24]=[CH:25][CH:26]=[CH:27]2
478,[CH2:12]1[CH2:13][S:14][C:7]([S:11]1)([CH2:6][C:4](=[O:5])[O:3][CH2:2][CH3:1])[CH:8]([CH3:9])[CH3:10]>>[CH3:9][CH:8]([CH3:10])[C:7]=1[S:11][CH2:12][CH2:13][S:14][C:6]=1[C:4](=[O:5])[O:3][CH2:2][CH3:1]
479,[C:2]1([O-:1])=[C:3]([Cl:4])[CH:5]=[CH:6][CH:7]=[C:8]1[Cl:9].[O:23]1[CH2:24][CH2:25][O:26][C:12]1([C:13]2=[CH:14][CH:15]=[C:16]([N+:17](=[O:18])[O-:19])[C:20]([Cl:21])=[CH:22]2)[CH3:11].[K+:10]>>[CH2:24]1[CH2:25][O:26][C:12]([O:23]1)([C:13]2=[CH:14][CH:15]=[C:16]([C:20]([O:1][C:2]3=[C:3]([CH:5]=[CH:6][CH:7]=[C:8]3[Cl:9])[Cl:4])=[CH:22]2)[N+:17](=[O:18])[O-:19])[CH3:11]
480,[CH:7]=1[CH:6]=[C:5]([CH:2]([C:3]#[N:4])[CH3:1])[CH:12]=[C:10]([C:8]=1[OH:9])[NH2:11].[OH:15][C:14](=[O:13])[CH:16]([OH:17])[C:18]=1[CH:23]=[CH:22][CH:21]=[CH:20][CH:19]=1>>[OH:17][CH:16]([C:18]=1[CH:23]=[CH:22][CH:21]=[CH:20][CH:19]=1)[C:14]2=[N:11][C:10]=3[C:8](=[CH:7][CH:6]=[C:5]([CH:2]([C:3]#[N:4])[CH3:1])[CH:12]=3)[O:9]2
481,[CH2:21]1[CH2:20][N:19]([CH2:24][CH2:23][CH2:22]1)[CH2:18][C:17]=2[CH:16]=[CH:15][CH:14]=[C:13]([O:12][CH2:11][CH2:10][CH2:9][NH:8][C:7]3=[N:6][S:4]([N:3]=[C:2]3[NH2:1])=[O:5])[CH:25]=2>>[CH2:21]1[CH2:20][N:19]([CH2:24][CH2:23][CH2:22]1)[CH2:18][C:17]=2[CH:16]=[CH:15][CH:14]=[C:13]([CH:25]=2)[O:12][CH2:11][CH2:10][CH2:9][NH:8][C:7](=[NH:6])[C:2]([NH2:1])=[NH:3]
482,[C:4]([C:6]1=[CH:7][CH:8]=[CH:9][C:10]([OH:11])=[CH:12]1)(=[O:5])[C:2]([OH:3])=[O:1].[OH:14][NH2:13]>>[C:2]([C:4]([C:6]1=[CH:7][CH:8]=[CH:9][C:10]([OH:11])=[CH:12]1)=[N:13][OH:14])(=[O:1])[OH:3]
483,[O:1]=[C:2]([OH:3])[C:4]1=[CH:5][NH:6][C:7](=[CH:15]1)[S:8][C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2>>[CH:5]=1[NH:6][C:7](=[CH:15][C:4]=1[CH2:2][OH:1])[S:8][C:9]2=[CH:14][CH:13]=[CH:12][CH:11]=[CH:10]2
484,[CH:22]1([CH2:23][CH2:24][NH:25][CH2:26]1)[OH:21].[O:16]=[C:15]([OH:17])[C:14]=1[C:12](=[O:13])[C:11]=2[CH:10]=[C:8]([F:9])[C:6](=[C:5]3[O:4][CH2:3][CH:2]([CH3:1])[N:19]([CH:18]=1)[C:20]=23)[F:7]>>[N:25]1([CH2:26][CH:22]([OH:21])[CH2:23][CH2:24]1)[C:6]2=[C:5]3[O:4][CH2:3][CH:2]([CH3:1])[N:19]4[CH:18]=[C:14]([C:12](=[O:13])[C:11]([CH:10]=[C:8]2[F:9])=[C:20]34)[C:15](=[O:16])[OH:17]
485,[CH3:17][C:16]([CH3:18])([CH:15]=[CH:14][CH2:13][CH:11]([CH3:12])[CH:10]1[CH2:9][CH2:8][CH:7]2[CH:6]3[CH2:5][CH:4]([C:31]45[CH2:30][CH:29]4[CH2:28][CH2:27][C:25]5([CH3:26])[CH:24]3[CH2:23][CH2:22][C:20]12[CH3:21])[O:3][CH3:2])[OH:19].[OH2:1]>>[CH3:17][C:16]([CH3:18])([CH:15]([CH2:14][CH2:13][CH:11]([CH:10]1[CH2:9][CH2:8][CH:7]2[C:20]1([CH3:21])[CH2:22][CH2:23][CH:24]3[C:25]4([CH3:26])[C:31]5([CH2:30][CH:29]5[CH2:28][CH2:27]4)[CH:4]([CH2:5][CH:6]23)[O:3][CH3:2])[CH3:12])[OH:1])[OH:19]
486,[C:5]12=[C:6]([NH2:7])[CH:8]=[CH:9][C:10]([S:11][C:12]3=[CH:13][CH:14]=[CH:15][CH:16]=[CH:17]3)=[C:18]1[CH2:19][CH2:20][N:2]([CH2:3][CH2:4]2)[CH3:1].[ClH:21]>>[CH:9]1=[CH:8][C:6](=[C:5]2[CH2:4][CH2:3][N:2]([CH2:20][CH2:19][C:18]2=[C:10]1[S:11][C:12]3=[CH:17][CH:16]=[CH:15][CH:14]=[CH:13]3)[CH3:1])[Cl:21]
487,[CH2:5]1[CH2:4][CH2:3][CH:2]([CH3:1])[CH2:15][C:6]1([C:8]2=[CH:9][CH:10]=[CH:11][C:12](=[CH:14]2)[Cl:13])[OH:7]>>[C:12]=1([CH:11]=[CH:10][CH:9]=[C:8]([CH:14]=1)[C:6]2=[CH:15][C:2](=[CH:3][CH:4]=[CH:5]2)[CH3:1])[Cl:13]
488,[OH:15][C:13](=[O:14])[CH2:12][CH:11]([CH2:16][C:17]([OH:19])=[O:18])[S:10][C:9]1=[CH:20][C:3](=[CH:4][CH:5]=[C:6]1[O:7][CH3:8])[O:2][CH3:1]>>[C:9]12=[C:20]([C:3](=[CH:4][CH:5]=[C:6]1[O:7][CH3:8])[O:2][CH3:1])[C:13](=[O:14])[CH2:12][CH:11]([CH2:16][C:17]([OH:19])=[O:18])[S:10]2
489,[CH2:10]([C:11]1=[CH:12][NH:13][C:14]=2[CH:15]=[CH:16][CH:17]=[CH:18][C:19]1=2)[NH2:9].[Cl:6][C:5]([Cl:8])([Cl:7])[C:3](=[NH:4])[O:2][CH3:1]>>[Cl:6][C:5]([Cl:8])([Cl:7])[C:3]([NH:9][CH2:10][C:11]1=[CH:12][NH:13][C:14]=2[CH:15]=[CH:16][CH:17]=[CH:18][C:19]1=2)=[NH:4]
490,[CH4:31].[CH2:14]1[CH2:15][N:16]([CH2:29][CH2:30][CH:13]1[N:12]2[CH2:11][CH2:10][N:3]([C:4]=3[CH:9]=[CH:8][CH:7]=[CH:6][CH:5]=3)[C:2]2=[O:1])[CH2:17][CH:18]([OH:19])[CH2:20][O:21][C:22]=4[C:27](=[N:26][CH:25]=[CH:24][N:23]=4)[Cl:28].[OH2:32]>>[CH2:15]1[CH2:14][CH:13]([CH2:30][CH2:29][N:16]1[CH2:17][CH:18]([OH:19])[CH2:20][O:21][C:22]=2[N:23]=[CH:24][CH:25]=[N:26][C:27]=2[O:32][CH3:31])[N:12]3[C:2](=[O:1])[N:3]([CH2:10][CH2:11]3)[C:4]4=[CH:9][CH:8]=[CH:7][CH:6]=[CH:5]4
491,[C:17]12=[CH:18][C:19]([Cl:20])=[CH:21][CH:22]=[C:23]1[N:24]([CH:6]([CH2:5][NH:4][C:2]([CH3:1])=[O:3])[CH2:7][N:8]=[C:9]2[C:10]3=[CH:11][CH:12]=[CH:13][CH:14]=[C:15]3[F:16])[C:25]([CH3:26])=[O:27]>>[CH:11]=1[CH:12]=[CH:13][CH:14]=[C:15]([F:16])[C:10]=1[C:9]2=[N:8][CH2:7][CH:6]3[CH2:5][N:4]=[C:25]([CH3:26])[N:24]3[C:23]=4[C:17]2=[CH:18][C:19]([Cl:20])=[CH:21][CH:22]=4
492,[CH4:26].[C:2]1([CH3:1])=[N:3][C:4]([CH:5]=[O:6])=[C:7]2[CH2:25][N:24]=[C:16]([C:15]3=[C:9]([CH:10]=[CH:11][C:12]([Cl:13])=[CH:14]3)[N:8]12)[C:17]=4[C:22]([Cl:23])=[CH:21][CH:20]=[CH:19][CH:18]=4>>[C:2]1([CH3:1])=[N:3][C:4]([CH:5]([OH:6])[CH3:26])=[C:7]2[CH2:25][N:24]=[C:16]([C:15]3=[C:9]([CH:10]=[CH:11][C:12]([Cl:13])=[CH:14]3)[N:8]12)[C:17]=4[C:22]([Cl:23])=[CH:21][CH:20]=[CH:19][CH:18]=4
