,R-ids,datasets,correct_reaction,wrong_reactions,reaction
35,['Jaworski_154'],['Jaworski'],CCCCN1CCN(CC1)c1ccc(OC)cc1.[H+].[I-]>>CCCCN1CCN(CC1)c1ccc(O)cc1.CI,[],CCCCN1CCN(CC1)c1ccc(OC)cc1>>CCCCN1CCN(CC1)c1ccc(O)cc1
36,['Jaworski_157'],['Jaworski'],[CH3:30][C:29]1([CH3:31])[CH2:28][CH:27]=[C:18]([C:16]2=[CH:17][C:12]([CH:11]=[CH:10][C:9]3=[CH:32][CH:33]=[C:6]([CH:7]=[CH:8]3)[C:4](=[O:5])[O:3][CH3:2])=[CH:13][CH:14]=[C:15]12)[CH:19]=[CH:20][C:21]4=[CH:22][CH:23]=[CH:24][CH:25]=[CH:26]4.[OH2:1]>>[CH3:30][C:29]1([CH3:31])[C:15]=2[CH:14]=[CH:13][C:12]([CH:11]=[CH:10][C:9]3=[CH:32][CH:33]=[C:6]([C:4](=[O:5])[OH:1])[CH:7]=[CH:8]3)=[CH:17][C:16]=2[C:18](=[CH:27][CH2:28]1)[CH:19]=[CH:20][C:21]4=[CH:22][CH:23]=[CH:24][CH:25]=[CH:26]4.O[CH3:2],[],COC(=O)c1ccc(C=Cc2ccc3c(c2)C(C=Cc2ccccc2)=CCC3(C)C)cc1.O>>CC1(C)CC=C(C=Cc2ccccc2)c2cc(C=Cc3ccc(cc3)C(O)=O)ccc12
37,['Jaworski_158'],['Jaworski'],[CH3:32][CH:31]([CH3:33])[C:11]=1[CH:10]=[C:9]([O:8][CH2:7][C:5](=[O:6])[O:4][CH2:3][CH3:2])[C:14](=[CH:13][CH:12]=1)[CH2:15][CH2:16][NH:17][S:18](=[O:19])(=[O:20])[C:21]2=[CH:22][C:23]([C:29]#[N:30])=[CH:24][CH:25]=[C:26]2[O:27][CH3:28].[OH2:1]>>[O:19]=[S:18](=[O:20])([NH:17][CH2:16][CH2:15][C:14]=1[CH:13]=[CH:12][C:11](=[CH:10][C:9]=1[O:8][CH2:7][C:5](=[O:6])[OH:1])[CH:31]([CH3:32])[CH3:33])[C:21]=2[CH:22]=[C:23]([CH:24]=[CH:25][C:26]=2[O:27][CH3:28])[C:29]#[N:30].O[CH2:3][CH3:2],[],CCOC(=O)COc1cc(ccc1CCNS(=O)(=O)c1cc(ccc1OC)C#N)C(C)C.O>>COc1ccc(cc1S(=O)(=O)NCCc1ccc(cc1OCC(O)=O)C(C)C)C#N
38,['Jaworski_160'],['Jaworski'],COc1c(I)c(Cl)cc(F)c1-n1c(=O)cc(n(C)c1=O)C(F)(F)F.[H+].[I-]>>Cn1c(cc(=O)n(-c2c(F)cc(Cl)c(I)c2O)c1=O)C(F)(F)F.CI,[],COc1c(I)c(Cl)cc(F)c1-n1c(=O)cc(n(C)c1=O)C(F)(F)F>>Cn1c(cc(=O)n(-c2c(F)cc(Cl)c(I)c2O)c1=O)C(F)(F)F
39,['Jaworski_161'],['Jaworski'],[F:20][C:19]([F:21])([F:22])[C:18]1=[CH:17][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]2)=[CH:8][CH:7]=[C:6]1[C:4]([O:3][CH3:2])=[O:5].[OH2:1]>>[F:20][C:19]([F:21])([F:22])[C:18]1=[CH:17][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]2)=[CH:8][CH:7]=[C:6]1[C:4](=[O:5])[OH:1].O[CH3:2],[],O.COC(=O)c1ccc(Oc2ccccc2)cc1C(F)(F)F>>OC(=O)c1ccc(Oc2ccccc2)cc1C(F)(F)F
40,['Jaworski_165'],['Jaworski'],COc1ccccc1C=Cc1ccccc1.[H+].[I-]>>Oc1ccccc1C=Cc1ccccc1.CI,[],COc1ccccc1C=Cc1ccccc1>>Oc1ccccc1C=Cc1ccccc1
41,['golden_dataset_101'],['golden_dataset'],[CH:13]=1[CH:12]=[C:11]2[CH2:10][CH2:9][C:8]([CH2:17][C:16]2=[CH:15][CH:14]=1)=[O:7].[CH3:1][O:2][C:3]([O:5][CH3:6])=[O:4]>>[C:11]12=[CH:12][CH:13]=[CH:14][CH:15]=[C:16]1[CH:17]([C:3]([O:2][CH3:1])=[O:4])[C:8](=[O:7])[CH2:9][CH2:10]2.[OH:5][CH3:6],[],[CH:13]=1[CH:12]=[C:11]2[CH2:10][CH2:9][C:8]([CH2:17][C:16]2=[CH:15][CH:14]=1)=[O:7].[CH3:1][O:2][C:3]([O:5][CH3:6])=[O:4]>>[C:11]12=[CH:12][CH:13]=[CH:14][CH:15]=[C:16]1[CH:17]([C:3]([O:2][CH3:1])=[O:4])[C:8](=[O:7])[CH2:9][CH2:10]2
42,['Jaworski_231'],['Jaworski'],,['COC(=O)c1nn(CCN=[N+]=[N-])c(C(=O)OC)c1OCc1ccccc1>>COC(=O)c1nn2CCNC(=O)c2c1OCc1ccccc1'],COC(=O)c1nn(CCN=[N+]=[N-])c(C(=O)OC)c1OCc1ccccc1>>COC(=O)c1nn2CCNC(=O)c2c1OCc1ccccc1
43,['Jaworski_236'],['Jaworski'],[CH2:20]([CH:19]([C:17]([NH:16][CH:6]([C:4]([O:3][CH3:2])=[O:5])[CH2:7][S:8][CH2:9][C:10]=1[CH:15]=[CH:14][CH:13]=[CH:12][CH:11]=1)=[O:18])[CH2:38][C:39]=2[CH:44]=[CH:43][CH:42]=[CH:41][CH:40]=2)[CH:21]([CH2:22][C:23]3=[CH:24][CH:25]=[CH:26][CH:27]=[CH:28]3)[C:29]([NH:31][C:32]=4[N:37]=[CH:36][CH:35]=[CH:34][CH:33]=4)=[O:30].[OH2:1]>>[CH:21]([C:29]([NH:31][C:32]=1[N:37]=[CH:36][CH:35]=[CH:34][CH:33]=1)=[O:30])([CH2:20][CH:19]([CH2:38][C:39]2=[CH:40][CH:41]=[CH:42][CH:43]=[CH:44]2)[C:17](=[O:18])[NH:16][CH:6]([CH2:7][S:8][CH2:9][C:10]=3[CH:15]=[CH:14][CH:13]=[CH:12][CH:11]=3)[C:4]([OH:1])=[O:5])[CH2:22][C:23]4=[CH:24][CH:25]=[CH:26][CH:27]=[CH:28]4.O[CH3:2],[],COC(=O)C(CSCc1ccccc1)NC(=O)C(CC(Cc1ccccc1)C(=O)Nc1ccccn1)Cc1ccccc1.O>>OC(=O)C(CSCc1ccccc1)NC(=O)C(CC(Cc1ccccc1)C(=O)Nc1ccccn1)Cc1ccccc1
44,['Jaworski_240'],['Jaworski'],[OH2:1].[OH:22][P:21]([OH:23])([CH2:20][C:19]=1[C:10](=[N:11][C:12]=2[CH:13]=[CH:14][CH:15]=[CH:16][C:17]=2[N:18]=1)[CH2:9][CH:7]([C:5]([O:4][CH2:3][CH3:2])=[O:6])[NH2:8])=[O:24]>>[OH:22][P:21]([OH:23])([CH2:20][C:19]=1[C:10](=[N:11][C:12]=2[CH:13]=[CH:14][CH:15]=[CH:16][C:17]=2[N:18]=1)[CH2:9][CH:7]([C:5]([OH:1])=[O:6])[NH2:8])=[O:24].O[CH2:3][CH3:2],[],CCOC(=O)C(N)Cc1nc2ccccc2nc1CP(O)(O)=O.O>>NC(Cc1nc2ccccc2nc1CP(O)(O)=O)C(O)=O
45,['Jaworski_248'],['Jaworski'],[OH2:1].[O:23]([C:22]1=[CH:21][CH:20]=[C:19]([C:25](=[O:26])[O:27][CH3:28])[CH:18]=[C:17]1[O:16][CH2:15][CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][CH3:2])[CH3:24]>>[CH2:9]([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][O:16][C:17]1=[CH:18][C:19]([C:25]([OH:1])=[O:26])=[CH:20][CH:21]=[C:22]1[O:23][CH3:24])[CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][CH3:2].O[CH3:28],[],CCCCCCCCCCCCCCOc1cc(ccc1OC)C(=O)OC.O>>CCCCCCCCCCCCCCOc1cc(ccc1OC)C(O)=O
46,['Jaworski_260'],['Jaworski'],Clc1cccnn1.CC1(C)OB(OC1(C)C)c1ccc(cc1)-c1nc2n(ncc2c(=O)n1-c1ccc(Cl)cc1)-c1ccccc1>>Clc1ccc(cc1)-n1c(nc2n(ncc2c1=O)-c1ccccc1)-c1ccc(cc1)-c1cccnn1.CC1(C)OB(Cl)OC1(C)C,[],Clc1cccnn1.CC1(C)OB(OC1(C)C)c1ccc(cc1)-c1nc2n(ncc2c(=O)n1-c1ccc(Cl)cc1)-c1ccccc1>>Clc1ccc(cc1)-n1c(nc2n(ncc2c1=O)-c1ccccc1)-c1ccc(cc1)-c1cccnn1
47,['Jaworski_264'],['Jaworski'],[CH:8]1=[C:9]([C:11](=[C:6]([C:4]([O:3][CH3:2])=[O:5])[S:7]1)[O:12][CH3:13])[Br:10].[OH2:1]>>[Br:10][C:9]1=[CH:8][S:7][C:6]([C:4](=[O:5])[OH:1])=[C:11]1[O:12][CH3:13].O[CH3:2],[],COC(=O)c1scc(Br)c1OC.O>>COc1c(Br)csc1C(O)=O
48,['Jaworski_265'],['Jaworski'],COC1C(C)Cc2c1cc(cc2CCO)C(C)(C)C.BrN1C(=O)CCC1=O.[H].[H]>>COC1C(C)Cc2c1cc(cc2CCBr)C(C)(C)C.O.O=C1CCC(=O)N1,[],COC1C(C)Cc2c1cc(cc2CCO)C(C)(C)C.BrN1C(=O)CCC1=O>>COC1C(C)Cc2c1cc(cc2CCBr)C(C)(C)C
49,['Jaworski_266'],['Jaworski'],COC(=O)c1sc(cc1OC(CO[Si](C)(C)C(C)(C)C)c1ccccc1Cl)-n1cnc2cnc(CO[Si](C)(C)C(C)(C)C)cc12.N>>CC(C)(C)[Si](C)(C)OCC(Oc1cc(sc1C(N)=O)-n1cnc2cnc(CO[Si](C)(C)C(C)(C)C)cc12)c1ccccc1Cl.CO,[],COC(=O)c1sc(cc1OC(CO[Si](C)(C)C(C)(C)C)c1ccccc1Cl)-n1cnc2cnc(CO[Si](C)(C)C(C)(C)C)cc12.N>>CC(C)(C)[Si](C)(C)OCC(Oc1cc(sc1C(N)=O)-n1cnc2cnc(CO[Si](C)(C)C(C)(C)C)cc12)c1ccccc1Cl
50,['Jaworski_272'],['Jaworski'],COC(=O)c1ccc(OCCNC(=O)c2oc3ccccc3c2N(C)C)cc1.NO>>CN(C)c1c(oc2ccccc12)C(=O)NCCOc1ccc(cc1)C(=O)NO.CO,[],COC(=O)c1ccc(OCCNC(=O)c2oc3ccccc3c2N(C)C)cc1.NO>>CN(C)c1c(oc2ccccc12)C(=O)NCCOc1ccc(cc1)C(=O)NO
51,['Jaworski_273'],['Jaworski'],COC(=O)c1ccccc1NCc1ccnc(NC(=O)N(C)C)c1.Cc1n(C)nc2cc(N)ccc12>>CN(C)C(=O)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(C)n(C)nc3c2)ccn1.CO,[],COC(=O)c1ccccc1NCc1ccnc(NC(=O)N(C)C)c1.Cc1n(C)nc2cc(N)ccc12>>CN(C)C(=O)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(C)n(C)nc3c2)ccn1
52,['Jaworski_276'],['Jaworski'],CCCC(CC(=O)OC)C[N+]([O-])=O>>CCCC1CNC(=O)C1.CO.O.[OH-],[],CCCC(CC(=O)OC)C[N+]([O-])=O>>CCCC1CNC(=O)C1
53,['Jaworski_284'],['Jaworski'],COc1ccc(cc1)N(NC(=O)Cc1cc(OC)c(cc1Br)C(=O)ON1C(=O)CCC1=O)c1c(C)cccc1N1CCCCC1.CN1CCNCC1>>COc1ccc(cc1)N(NC(=O)Cc1cc(OC)c(cc1Br)C(=O)N1CCN(C)CC1)c1c(C)cccc1N1CCCCC1.O=C1CCC(=O)N1O,[],COc1ccc(cc1)N(NC(=O)Cc1cc(OC)c(cc1Br)C(=O)ON1C(=O)CCC1=O)c1c(C)cccc1N1CCCCC1.CN1CCNCC1>>COc1ccc(cc1)N(NC(=O)Cc1cc(OC)c(cc1Br)C(=O)N1CCN(C)CC1)c1c(C)cccc1N1CCCCC1
54,['Jaworski_286'],['Jaworski'],NO.CCOC(=O)Cc1oc-2cccc-2cc1-c1ccccc1>>ONC(=O)Cc1oc-2cccc-2cc1-c1ccccc1.CCO,[],NO.CCOC(=O)Cc1oc-2cccc-2cc1-c1ccccc1>>ONC(=O)Cc1oc-2cccc-2cc1-c1ccccc1
55,['Jaworski_288'],['Jaworski'],O=C(OCc1ccccc1)ON1C(=O)CCC1=O.OC(=O)C1CCCNC1>>OC(=O)C1CCCN(C1)C(=O)OCc1ccccc1.O=C1CCC(=O)N1O,[],O=C(OCc1ccccc1)ON1C(=O)CCC1=O.OC(=O)C1CCCNC1>>OC(=O)C1CCCN(C1)C(=O)OCc1ccccc1
56,['golden_dataset_150'],['golden_dataset'],[CH2:20]([CH3:19])[N:21]1[CH2:27][CH2:26][N:25]([C:28]=2[N:29]=[CH:30][C:31]([C:34]([O:36][CH3:37])=[O:35])=[CH:32][N:33]=2)[CH2:24][CH2:23][CH2:22]1.[CH2:7]([C:8]=1[NH:13][N:12]=[C:10]([CH:9]=1)[NH2:11])[CH2:6][C:5]2=[CH:14][C:15]([O:16][CH3:17])=[CH:18][C:3](=[CH:4]2)[O:2][CH3:1]>>[CH2:24]1[N:25]([C:28]2=[N:29][CH:30]=[C:31]([CH:32]=[N:33]2)[C:34](=[O:35])[NH:11][C:10]=3[NH:12][N:13]=[C:8]([CH2:7][CH2:6][C:5]=4[CH:4]=[C:3]([CH:18]=[C:15]([O:16][CH3:17])[CH:14]=4)[O:2][CH3:1])[CH:9]=3)[CH2:26][CH2:27][N:21]([CH2:22][CH2:23]1)[CH2:20][CH3:19].[OH:36][CH3:37],[],[CH2:20]([CH3:19])[N:21]1[CH2:27][CH2:26][N:25]([C:28]=2[N:29]=[CH:30][C:31]([C:34]([O:36][CH3:37])=[O:35])=[CH:32][N:33]=2)[CH2:24][CH2:23][CH2:22]1.[CH2:7]([C:8]=1[NH:13][N:12]=[C:10]([CH:9]=1)[NH2:11])[CH2:6][C:5]2=[CH:14][C:15]([O:16][CH3:17])=[CH:18][C:3](=[CH:4]2)[O:2][CH3:1]>>[CH2:24]1[N:25]([C:28]2=[N:29][CH:30]=[C:31]([CH:32]=[N:33]2)[C:34](=[O:35])[NH:11][C:10]=3[NH:12][N:13]=[C:8]([CH2:7][CH2:6][C:5]=4[CH:4]=[C:3]([CH:18]=[C:15]([O:16][CH3:17])[CH:14]=4)[O:2][CH3:1])[CH:9]=3)[CH2:26][CH2:27][N:21]([CH2:22][CH2:23]1)[CH2:20][CH3:19]
57,['Jaworski_293'],['Jaworski'],O=C(CCC1=CCCCC1)C1CCCC1.COC(=O)CC(C)=O>>O=C1CC(=O)OC(CCC2=CCCCC2)(C1)C1CCCC1.CO,[],O=C(CCC1=CCCCC1)C1CCCC1.COC(=O)CC(C)=O>>O=C1CC(=O)OC(CCC2=CCCCC2)(C1)C1CCCC1
58,['Jaworski_294'],['Jaworski'],COCCOc1cc2ncnc(Oc3cccc(N)c3)c2cc1OC.CC(C)c1cc(NC(=O)Oc2ccccc2)no1>>COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(on4)C(C)C)c3)c2cc1OC.Oc1ccccc1,[],COCCOc1cc2ncnc(Oc3cccc(N)c3)c2cc1OC.CC(C)c1cc(NC(=O)Oc2ccccc2)no1>>COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(on4)C(C)C)c3)c2cc1OC
59,['Jaworski_300'],['Jaworski'],CCOC(CN)OCC.CCC(=Cc1ccccc1C(=O)OC)[N+]([O-])=O>>CCOC(CN1C(C(CC)[N+]([O-])=O)c2ccccc2C1=O)OCC.CO,[],CCOC(CN)OCC.CCC(=Cc1ccccc1C(=O)OC)[N+]([O-])=O>>CCOC(CN1C(C(CC)[N+]([O-])=O)c2ccccc2C1=O)OCC
60,['Jaworski_301'],['Jaworski'],CC(C)(C)OC(=O)Nc1ccc(cc1N)C(F)(F)F.CC(C)(C)OC(=O)CC(=O)c1cccc(c1)-c1ccc(nc1)C1CC1>>CC(C)(C)OC(=O)Nc1ccc(cc1NC(=O)CC(=O)c1cccc(c1)-c1ccc(nc1)C1CC1)C(F)(F)F.CC(C)(C)O,[],CC(C)(C)OC(=O)Nc1ccc(cc1N)C(F)(F)F.CC(C)(C)OC(=O)CC(=O)c1cccc(c1)-c1ccc(nc1)C1CC1>>CC(C)(C)OC(=O)Nc1ccc(cc1NC(=O)CC(=O)c1cccc(c1)-c1ccc(nc1)C1CC1)C(F)(F)F
61,['Jaworski_303'],['Jaworski'],Cc1cccc(N)c(=O)c1.COC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1C>>CN1C(C(=O)Nc2cccc(C)cc2=O)=C(O)c2ccccc2S1(=O)=O.CO,[],Cc1cccc(N)c(=O)c1.COC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1C>>CN1C(C(=O)Nc2cccc(C)cc2=O)=C(O)c2ccccc2S1(=O)=O
62,['Jaworski_305'],['Jaworski'],CCOC(=O)C1CCC(N1C)C(=O)OCC.NCc1ccccc1>>CCOC(=O)C1CCC(N1C)C(=O)NCc1ccccc1.CCO,[],CCOC(=O)C1CCC(N1C)C(=O)OCC.NCc1ccccc1>>CCOC(=O)C1CCC(N1C)C(=O)NCc1ccccc1
63,['Jaworski_308'],['Jaworski'],CCOC(=O)CC(C[N+]([O-])=O)c1cc2ccccc2o1>>O=C1CC(CN1)c1cc2ccccc2o1.CCO.O.[OH-],[],CCOC(=O)CC(C[N+]([O-])=O)c1cc2ccccc2o1>>O=C1CC(CN1)c1cc2ccccc2o1
64,['Jaworski_312'],['Jaworski'],CN(CCCCCCCCCO[Si](C)(C)C(C)(C)C)C1C2CCC1C(O)C2.CCOC(=O)C(O)(c1cccs1)c1cccs1>>CN(CCCCCCCCCO[Si](C)(C)C(C)(C)C)C1C2CCC1C(C2)OC(=O)C(O)(c1cccs1)c1cccs1.CCO,[],CN(CCCCCCCCCO[Si](C)(C)C(C)(C)C)C1C2CCC1C(O)C2.CCOC(=O)C(O)(c1cccs1)c1cccs1>>CN(CCCCCCCCCO[Si](C)(C)C(C)(C)C)C1C2CCC1C(C2)OC(=O)C(O)(c1cccs1)c1cccs1
65,['golden_dataset_169'],['golden_dataset'],[CH:7]=1[C:8]([CH3:9])=[C:2]([F:1])[CH:3]=[C:4]([NH2:5])[CH:6]=1.[CH3:11][C:10]([CH3:12])([CH3:13])[O:14][C:15]([NH:16][CH2:17][CH:18]1[O:19][CH2:20]1)=[O:21].[CH3:25][N:24]([CH3:26])[CH:23]=[O:22].[O]>>[CH3:11][C:10]([CH3:12])([CH3:13])[O:14][C:15]([NH:16][CH2:17][CH:18]1[O:19][C:23](=[O:22])[N:5]([C:4]2=[CH:3][C:2](=[C:8]([CH3:9])[CH:7]=[CH:6]2)[F:1])[CH2:20]1)=[O:21].[NH:24]([CH3:25])[CH3:26].O,[],[CH:7]=1[C:8]([CH3:9])=[C:2]([F:1])[CH:3]=[C:4]([NH2:5])[CH:6]=1.[CH3:11][C:10]([CH3:12])([CH3:13])[O:14][C:15]([NH:16][CH2:17][CH:18]1[O:19][CH2:20]1)=[O:21].[CH3:25][N:24]([CH3:26])[CH:23]=[O:22]>>[CH3:11][C:10]([CH3:12])([CH3:13])[O:14][C:15]([NH:16][CH2:17][CH:18]1[O:19][C:23](=[O:22])[N:5]([C:4]2=[CH:3][C:2](=[C:8]([CH3:9])[CH:7]=[CH:6]2)[F:1])[CH2:20]1)=[O:21]
66,['Jaworski_332'],['Jaworski'],,['BrC(Br)(Br)Br.COCC1(CCO)CN(C(C)c2ccccc2)C(=O)C1>>COCC1(CCBr)CN(C(C)c2ccccc2)C(=O)C1.OC(Br)(Br)Br'],BrC(Br)(Br)Br.COCC1(CCO)CN(C(C)c2ccccc2)C(=O)C1>>COCC1(CCBr)CN(C(C)c2ccccc2)C(=O)C1
67,['golden_dataset_177'],['golden_dataset'],[CH2:16]=[CH:15][CH2:14][Cl:17].[CH3:18][Si:19]([CH3:20])([CH3:21])[C:22]#[N:23].[Cl:25][CH:24]([Cl:26])[Cl:27].[N:11]#[C:10][C:9]([C:12]#[N:13])=[CH:8][C:5]=1[CH:6]=[N:7][C:2](=[CH:3][CH:4]=1)[Cl:1]>>[C:10](#[N:11])[C:9]([C:12]#[N:13])([CH2:14][CH:15]=[CH2:16])[CH:8]([C:22]#[N:23])[C:5]=1[CH:6]=[N:7][C:2](=[CH:3][CH:4]=1)[Cl:1].[CH:24]([Cl:25])([Cl:26])[Cl:27].[Cl:17][Si:19]([CH3:18])([CH3:20])[CH3:21],[],[CH2:16]=[CH:15][CH2:14][Cl:17].[CH3:18][Si:19]([CH3:20])([CH3:21])[C:22]#[N:23].[Cl:25][CH:24]([Cl:26])[Cl:27].[N:11]#[C:10][C:9]([C:12]#[N:13])=[CH:8][C:5]=1[CH:6]=[N:7][C:2](=[CH:3][CH:4]=1)[Cl:1]>>[C:10](#[N:11])[C:9]([C:12]#[N:13])([CH2:14][CH:15]=[CH2:16])[CH:8]([C:22]#[N:23])[C:5]=1[CH:6]=[N:7][C:2](=[CH:3][CH:4]=1)[Cl:1]
68,['Jaworski_369'],['Jaworski'],,['CCOC(C)(OCC)OCC.OCC(CO)(CO)CO>>CC12OCC(CO)(CO1)CO2'],CCOC(C)(OCC)OCC.OCC(CO)(CO)CO>>CC12OCC(CO)(CO1)CO2
69,['Jaworski_382'],['Jaworski'],,['O=C(n1ccnc1)n1ccnc1.CC(C)(C)OC(=O)N1CCC(CC1)NCc1ccccc1[N+]([O-])=O>>CC(C)(C)OC(=O)N1CCC(CC1)N1Cc2ccccc2NC1=O'],O=C(n1ccnc1)n1ccnc1.CC(C)(C)OC(=O)N1CCC(CC1)NCc1ccccc1[N+]([O-])=O>>CC(C)(C)OC(=O)N1CCC(CC1)N1Cc2ccccc2NC1=O
70,['golden_dataset_184'],['golden_dataset'],,['[O:13]=[CH:12][C:11]1=[C:14]([OH:15])[C:7]([O:6][CH3:5])=[CH:8][CH:9]=[CH:10]1.[OH:1][OH:2].[OH:3][OH:4]>>[OH:15][C:14]1=[C:11]([OH:2])[CH:10]=[CH:9][CH:8]=[C:7]1[O:6][CH3:5].[OH:2][CH:12]=[O:13].[OH:3][OH:4]'],[O:13]=[CH:12][C:11]1=[C:14]([OH:15])[C:7]([O:6][CH3:5])=[CH:8][CH:9]=[CH:10]1.[OH:1][OH:2].[OH:3][OH:4]>>[OH:15][C:14]1=[C:11]([OH:2])[CH:10]=[CH:9][CH:8]=[C:7]1[O:6][CH3:5]
71,['golden_dataset_186'],['golden_dataset'],[C:9](=[O:14])([CH3:8])[O:10][C:11](=[O:13])[CH3:12].[C:16](=[O:21])([CH3:15])[O:17][C:18](=[O:20])[CH3:19].[CH2:2]([OH:1])[CH2:3][CH2:4][CH2:5][CH2:6][OH:7]>>[C:11]([O:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][O:7][C:18](=[O:20])[CH3:19])(=[O:13])[CH3:12].[OH:10][C:11]([CH3:12])=[O:13].[OH:17][C:18]([CH3:19])=[O:20],[],[C:9](=[O:14])([CH3:8])[O:10][C:11](=[O:13])[CH3:12].[C:16](=[O:21])([CH3:15])[O:17][C:18](=[O:20])[CH3:19].[CH2:2]([OH:1])[CH2:3][CH2:4][CH2:5][CH2:6][OH:7]>>[C:11]([O:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][O:7][C:18](=[O:20])[CH3:19])(=[O:13])[CH3:12]
72,['golden_dataset_187'],['golden_dataset'],[C:2]([O:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][O:9][C:10](=[O:12])[CH3:11])(=[O:13])[CH3:1]>>[CH2:4]=[CH:5][CH2:6][CH:7]=[CH2:8].[CH3:1][C:2]([OH:3])=[O:13].[OH:9][C:10]([CH3:11])=[O:12],[],[C:2]([O:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][O:9][C:10](=[O:12])[CH3:11])(=[O:13])[CH3:1]>>[CH2:4]=[CH:5][CH2:6][CH:7]=[CH2:8]
73,['golden_dataset_194'],['golden_dataset'],,['[CH:6]1=[C:5]([NH2:4])[CH:10]=[CH:9][C:8]([N+:11]([O-:12])=[O:13])=[CH:7]1.[CH3:14][C:15]1([CH3:16])[C:20]([CH3:21])([CH3:22])[O:19][B:18]([O:17]1)[B:23]2[O:24][C:25]([CH3:30])([CH3:31])[C:26]([CH3:28])([CH3:29])[O:27]2.[N:2]([O-:1])=[O:3]>>[CH3:14][C:15]1([CH3:16])[C:20]([CH3:21])([CH3:22])[O:19][B:18]([O:17]1)[C:5]=2[CH:10]=[CH:9][C:8](=[CH:7][CH:6]=2)[N+:11]([O-:12])=[O:13].[NH2:4][B:23]1[O:24][C:25]([CH3:30])([CH3:31])[C:26]([CH3:28])([CH3:29])[O:27]1.[O-:1][N:2]=[O:3]'],[CH:6]1=[C:5]([NH2:4])[CH:10]=[CH:9][C:8]([N+:11]([O-:12])=[O:13])=[CH:7]1.[CH3:14][C:15]1([CH3:16])[C:20]([CH3:21])([CH3:22])[O:19][B:18]([O:17]1)[B:23]2[O:24][C:25]([CH3:30])([CH3:31])[C:26]([CH3:28])([CH3:29])[O:27]2.[N:2]([O-:1])=[O:3]>>[CH3:14][C:15]1([CH3:16])[C:20]([CH3:21])([CH3:22])[O:19][B:18]([O:17]1)[C:5]=2[CH:10]=[CH:9][C:8](=[CH:7][CH:6]=2)[N+:11]([O-:12])=[O:13]
74,['golden_dataset_196'],['golden_dataset'],,['[CH2:21]([CH2:20][NH2:19])[C:22]1=[CH:23][CH:24]=[CH:25][CH:26]=[CH:27]1.[CH:15]=1[CH:16]=[CH:17][C:12](=[CH:13][CH:14]=1)[CH:11]=[O:18].[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][O:6][C:7]([CH3:8])([CH3:9])[CH3:10]>>[CH:14]1=[CH:13][C:12]([C:11]([NH:19][CH2:20][CH2:21][C:22]=2[CH:23]=[CH:24][CH:25]=[CH:26][CH:27]=2)=[O:18])=[CH:17][CH:16]=[CH:15]1'],[CH2:21]([CH2:20][NH2:19])[C:22]1=[CH:23][CH:24]=[CH:25][CH:26]=[CH:27]1.[CH:15]=1[CH:16]=[CH:17][C:12](=[CH:13][CH:14]=1)[CH:11]=[O:18].[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][O:6][C:7]([CH3:8])([CH3:9])[CH3:10]>>[CH:14]1=[CH:13][C:12]([C:11]([NH:19][CH2:20][CH2:21][C:22]=2[CH:23]=[CH:24][CH:25]=[CH:26][CH:27]=2)=[O:18])=[CH:17][CH:16]=[CH:15]1
